time_s,torsion_a_v,torsion_b_v
-2.484999999999999709e-02,3.540000000000000036e+00,3.828000000000000291e+00
-2.479999999999999913e-02,3.600000000000000089e+00,3.784000000000000252e+00
-2.474999999999999770e-02,3.520000000000000018e+00,3.836000000000000298e+00
-2.469999999999999973e-02,3.600000000000000089e+00,3.820000000000000284e+00
-2.464999999999999830e-02,3.120000000000000107e+00,3.740000000000000213e+00
-2.459999999999999687e-02,3.120000000000000107e+00,3.764000000000000234e+00
-2.454999999999999891e-02,3.180000000000000160e+00,3.724000000000000199e+00
-2.449999999999999747e-02,3.160000000000000142e+00,3.756000000000000227e+00
-2.444999999999999951e-02,3.100000000000000089e+00,3.708000000000000185e+00
-2.439999999999999808e-02,3.100000000000000089e+00,3.744000000000000217e+00
-2.434999999999999665e-02,3.140000000000000124e+00,3.700000000000000178e+00
-2.429999999999999868e-02,3.100000000000000089e+00,3.732000000000000206e+00
-2.425000000000000072e-02,3.140000000000000124e+00,3.692000000000000171e+00
-2.419999999999999929e-02,3.140000000000000124e+00,3.724000000000000199e+00
-2.414999999999999786e-02,3.100000000000000089e+00,3.688000000000000167e+00
-2.409999999999999989e-02,3.140000000000000124e+00,3.724000000000000199e+00
-2.404999999999999846e-02,3.080000000000000071e+00,3.676000000000000156e+00
-2.400000000000000050e-02,3.080000000000000071e+00,3.672000000000000153e+00
-2.394999999999999907e-02,3.160000000000000142e+00,3.756000000000000227e+00
-2.389999999999999764e-02,3.140000000000000124e+00,3.720000000000000195e+00
-2.384999999999999967e-02,3.100000000000000089e+00,3.680000000000000160e+00
-2.379999999999999824e-02,3.080000000000000071e+00,3.680000000000000160e+00
-2.375000000000000028e-02,3.339999999999999858e+00,3.724000000000000199e+00
-2.369999999999999885e-02,3.320000000000000284e+00,3.700000000000000178e+00
-2.364999999999999741e-02,3.399999999999999911e+00,3.748000000000000220e+00
-2.359999999999999945e-02,3.399999999999999911e+00,3.720000000000000195e+00
-2.354999999999999802e-02,3.339999999999999858e+00,3.756000000000000227e+00
-2.350000000000000006e-02,3.379999999999999893e+00,3.728000000000000203e+00
-2.344999999999999862e-02,3.419999999999999929e+00,3.764000000000000234e+00
-2.339999999999999719e-02,3.379999999999999893e+00,3.728000000000000203e+00
-2.334999999999999923e-02,3.419999999999999929e+00,3.764000000000000234e+00
-2.329999999999999780e-02,3.419999999999999929e+00,3.736000000000000210e+00
-2.324999999999999983e-02,3.379999999999999893e+00,3.768000000000000238e+00
