trial,block,pair_id,stratum,ratio,f1,f2,phase_offset,timebase_s,vpp_ch1,vrms_ch1,vpp_ch2,vrms_ch2,vpp_ch3,vrms_ch3,rsp_db,crest_factor,spectral_flatness,envelope_regularity,xcorr_peak,phase_coherence,wf_points,sample_rate,timestamp
26,1,CC1,CC,9:8,5303.3,4714.0,45.0,0.0005,0.592,0.3933649,0.152,0.3492492,0.32,0.3607979,-29.3538,1.3965,0.003358,0.2006,0.9139,0.8545,1200,199999.99999999997,2026-09-18T17:59:16.629830
27,1,CC1,CC,9:8,5303.3,4714.0,90.0,0.0005,0.584,0.3944238,0.16,0.3494748,0.32,0.3616641,-29.3993,1.394,0.003106,0.1914,0.9147,0.8573,1200,199999.99999999997,2026-09-18T17:59:25.224225
28,1,CC1,CC,9:8,5303.3,4714.0,135.0,0.0005,0.648,0.3949243,0.624,0.3943337,0.584,0.3742826,-14.2309,1.7112,0.005508,0.2593,0.8284,0.7353,1200,199999.99999999997,2026-09-18T17:59:33.832992
29,1,CC1,CC,9:8,5303.3,4714.0,180.0,0.0005,0.648,0.3952786,0.632,0.3947172,0.592,0.3747717,-14.2254,1.7087,0.00688,0.2503,0.8285,0.7361,1200,199999.99999999997,2026-09-18T17:59:41.723099
30,1,CC1,CC,9:8,5303.3,4714.0,225.0,0.0005,0.648,0.3953294,0.632,0.3941719,0.592,0.3747844,-14.2355,1.7096,0.005483,0.2541,0.8283,0.7331,1200,199999.99999999997,2026-09-18T17:59:49.882752
31,1,CC1,CC,9:8,5303.3,4714.0,270.0,0.0005,0.584,0.3944987,0.152,0.3493395,0.32,0.3618816,-29.3589,1.3934,0.003245,0.1956,0.9145,0.8555,1200,199999.99999999997,2026-09-18T17:59:58.166642
32,1,CC1,CC,9:8,5303.3,4714.0,315.0,0.0005,0.592,0.3941552,0.208,0.3520629,0.336,0.3620843,-27.4567,1.4146,0.005123,0.2562,0.9103,0.8579,1200,199999.99999999997,2026-09-18T18:00:06.614969
33,1,IR2,IR,φ:1,6360.1,3930.8,0.0,0.0001,0.584,0.3948965,0.152,0.3497461,0.32,0.3629382,-29.1094,1.3888,0.00857,0.2687,0.9115,0.8627,1200,1000000.0,2026-09-18T18:00:14.805614
34,1,IR2,IR,φ:1,6360.1,3930.8,45.0,0.0001,0.576,0.3909123,0.16,0.3487313,0.32,0.3601227,-28.76,1.3992,0.008506,0.2722,0.9098,0.8575,1200,1000000.0,2026-09-18T18:00:23.438103
35,1,IR2,IR,φ:1,6360.1,3930.8,90.0,0.0001,0.576,0.3878165,0.192,0.3506508,0.336,0.3582632,-27.7941,1.4287,0.009837,0.282,0.8997,0.8473,1200,1000000.0,2026-09-18T18:00:31.616520
36,1,IR2,IR,φ:1,6360.1,3930.8,135.0,0.0001,0.576,0.3833587,0.152,0.3479554,0.32,0.3557781,-31.9576,1.416,0.004871,0.2766,0.9075,0.8567,1200,1000000.0,2026-09-18T18:00:39.723603
37,1,IR2,IR,φ:1,6360.1,3930.8,180.0,0.0001,0.584,0.3586407,0.152,0.05832306,0.32,0.2053977,-26.4648,1.5983,0.005334,0.403,0.8486,0.6862,1200,1000000.0,2026-09-18T18:00:48.008003
38,1,IR2,IR,φ:1,6360.1,3930.8,225.0,0.0001,0.648,0.396749,0.664,0.3836391,0.6,0.3728448,-31.3428,1.7373,0.00281,0.3575,0.8381,0.7399,1200,1000000.0,2026-09-18T18:00:56.447722
39,1,IR2,IR,φ:1,6360.1,3930.8,270.0,0.0001,0.584,0.386242,0.16,0.3488298,0.32,0.3578828,-29.9431,1.4078,0.007019,0.2783,0.9079,0.8555,1200,1000000.0,2026-09-18T18:01:04.818618
40,1,IR2,IR,φ:1,6360.1,3930.8,315.0,0.0001,0.584,0.3820119,0.152,0.347475,0.32,0.3550123,-33.9163,1.419,0.002866,0.2737,0.9074,0.8587,1200,1000000.0,2026-09-18T18:01:12.855120
41,1,CC4,CC,15:8,6846.5,3651.5,0.0,0.0001,0.584,0.3877738,0.328,0.3569286,0.4,0.3597423,-22.8553,1.5135,0.003732,0.2689,0.8863,0.8325,1200,1000000.0,2026-09-18T18:01:20.987818
42,1,CC4,CC,15:8,6846.5,3651.5,45.0,0.0001,0.768,0.5481886,nan,nan,nan,nan,-14.0957,1.1869,0.008801,0.0604,0.936,0.9037,1200,1000000.0,2026-09-18T18:01:29.427541
43,1,CC4,CC,15:8,6846.5,3651.5,90.0,0.0001,0.64,0.3861046,0.656,0.3825886,0.592,0.3649337,-30.5812,1.7338,0.003482,0.3308,0.818,0.7636,1200,1000000.0,2026-09-18T18:01:37.513098
44,1,CC4,CC,15:8,6846.5,3651.5,135.0,0.0001,0.6,0.3891602,0.44,0.3668868,0.472,0.3637573,-18.7393,1.6052,0.003326,0.2744,0.8692,0.8117,1200,1000000.0,2026-09-18T18:01:46.370233
45,1,CC4,CC,15:8,6846.5,3651.5,180.0,0.0001,0.648,0.3909971,0.6720001,0.3827004,0.6,0.3686717,-33.0975,1.7584,0.002234,0.3814,0.8295,0.7053,1200,1000000.0,2026-09-18T18:01:54.733810
46,1,CC4,CC,15:8,6846.5,3651.5,225.0,0.0001,0.576,0.3969738,0.152,0.3498168,0.32,0.3641155,-34.2109,1.3827,0.002763,0.2663,0.9133,0.8617,1200,1000000.0,2026-09-18T18:02:03.624036
47,1,CC4,CC,15:8,6846.5,3651.5,270.0,0.0001,0.576,0.3921022,0.2,0.351819,0.336,0.3615221,-29.0408,1.4158,0.00783,0.2748,0.905,0.8556,1200,1000000.0,2026-09-18T18:02:12.240094
48,1,CC4,CC,15:8,6846.5,3651.5,315.0,0.0001,0.648,0.3912173,0.6720001,0.4104087,0.608,0.3826138,-30.2451,1.6943,0.003814,0.3497,0.8364,0.7551,1200,1000000.0,2026-09-18T18:02:20.321165
49,1,CC9,CC,27:16,6495.2,3849.0,0.0,0.0001,0.64,0.3864658,0.664,0.4002129,0.608,0.375089,-28.3959,1.7259,0.005317,0.3548,0.8325,0.7398,1200,1000000.0,2026-09-18T18:02:28.526399
